id,obj_1,obj_2,obj_3,odd,reason_for_similarity,obj_4
2242,The Statue of Liberty,The Venus de Milo,The Thinker,The Statue of Liberty,The others are ancient sculptures,The Venus of Willendorf
2243,Neon,Sulfur,Oxygen,Neon,The others are Chalcogens,Selenium
2244,The Flash,Two-Face,The Riddler,Green Arrow,The others are Batman villains,Green Arrow
2245,Blacksmith,Carpenter,Baker,Baker,The others work with metal in some form.,Farrier
2246,Thomas Edison,Nikola Tesla,Albert Einstein,Albert Einstein,The others are inventors of electrical devices,Alexander Graham Bell
2247,Salvador Dali,Titian,Michelangelo,Salvador Dali,The others are Italian Renaissance artists.,Raphael
2248,Oak,Pecan,Maple,Oak,The others are types of wood used to smoke food,Hickory
2249,Fennel,Cayenne,Rosemary,Cayenne,The others are herbs used in European cuisine,Dill
2250,Joseph Haydn,Robert Schumann,George Frideric Handel,Robert Schumann,The others are classical composers,Mozart
2251,Blini,Pancakes,Enchiladas,Blini,The others are Mexican dishes,Tacos
2252,Green Lantern,Iron Fist,Thor,Iron Fist,The others are from space,Silver Surfer
2253,Wilbur Wright,Orville Wright,George Eastman,George Eastman,The others are pioneers in aviation,Amelia Earhart
2254,Dwight D. Eisenhower,Martin Van Buren,Benjamin Franklin,Benjamin Franklin,The others are U.S. Presidents,Andrew Jackson
2255,Thanos,Gamora,Star-Lord,Star-Lord,The others are related.,Nebula (character)
2256,Marjoram,Basil,Nutmeg,Nutmeg,The others are herbs,Oregano
2257,Spiderman,Wonder Woman,Batman,Spiderman,The others are DC Comics characters,Robin
2258,Ant,Mosquito,Butterfly,Mosquito,The others are pollinators,Bee
2259,Quicksilver,Flash,Black Canary,Quicksilver,The others are DC Comics characters.,Batman
2260,Parsley,Turmeric,Salt,Salt,The others are spices.,Ginger
2261,Ulna,Femur,Tibia,Tibia,The others are bones in the arm.,Radius
2262,Silver (metal),Copper,Zinc,Magnesium,The others are transition metals,Magnesium
2263,Thunderstorm,Blizzard,Tornado,Earthquake,The others are atmospheric phenomena,Earthquake
2264,Iron,Aluminum,Indium,Iron,The others are post-transition metals.,Gallium
2265,Chalk,Basalt,Gabbro,Chalk,The others are igneous rocks,Andesite
2266,Hanbok,Kimono,Toga,Toga,The others are Asian traditional dresses,Sari
2267,Sodium,Rubidium,Potassium,Gallium,The others are alkali metals,Gallium
2268,Gulf Stream,Jet Stream,Trade Winds,Gulf Stream,The others are atmospheric winds,Monsoon
2269,Light Bulb,The Musket,Gutenberg's Printing Press,Light Bulb,The others are inventions of early to late Renaissance period.,Telescope
2270,Orchid,Maple,Lily,Pine,The others are flowering plants.,Pine
2271,Cactus,Fern,Maple,Cactus,The others are non-desert plants,Moss
2272,Rhyolite,Chert,Granite,Chert,The others are types of igneous rocks,Dacite
2273,Rose,Oak Tree,Algae,Algae,The others are primarily pollinated,Sunflower
2274,Coconut,Banana,Rose,Rose,The others are types of trees,Oak
2275,Brachiosaurus,Stegosaurus,Triceratops,Spinosaurus,The others are herbivorous dinosaurs,Spinosaurus
2276,Charles Darwin,Gregor Mendel,James Watson,Nikola Tesla,The others are known for their contributions to biology.,Nikola Tesla
2277,Scallions,Garlic,Chives,Cloves,The others are Allium genus (onion family) plants,Cloves
2278,Zorbing,Bowling,Bouldering,Bouldering,The others are activities involving a spherical object,Soccer
2279,Transcription,Mitosis,Meiosis,Photosynthesis,The others are types of cell division.,Photosynthesis
2280,Malta,Crete,Iceland,Iceland,The others are Mediterranean islands.,Cyprus
2281,Lipid,Protein,DNA,Glucose,The others are macromolecules,Glucose
2282,Black Pudding,Morcilla,Chorizo,Pancetta,The others are types of blood sausage,Pancetta
2283,Marigold,Maple,Sunflower,Maple,The others are flowers,Daisy
2284,Basalt,Granite,Pumice,Granite,The others are volcanic rocks.,Obsidian
2285,Tiger,Owl,Snake,Tiger,The others are nocturnal,Bat
2286,Alain Ducasse,Emeril Lagasse,Julia Child,Julia Child,The others are French chefs,Pierre Gagnaire
2287,Pigeon,Dove,Falcon,Penguin,The others are able to fly,Penguin
2288,Boiling,Steaming,Roasting,Roasting,The others are cooking methods using liquid.,Braising
2289,Phosphorus,Oxygen,Sulfur,Oxygen,The others are nonmetals in group 15 of the periodic table,Nitrogen
2290,Combat Fatigue (Battle Fatigue),Shell Shock (PTSD),Appendicitis,Appendicitis,The others are related to war trauma.,Traumatic Brain Injury (TBI)
2291,Mars,Neptune,Saturn,Mars,The others are gas giants.,Jupiter
2292,Sibylline Oracle,Oracle of Delphi,Vestal Virgin,Vestal Virgin,The others are associated with prophecy in ancient Greece,Pythia
2293,Palm,Sequoia,Douglas-fir,Palm,The others are coniferous trees,Redwood
2294,Osiris,Cleopatra,Horus,Cleopatra,The others are deities in ancient Egyptian mythology.,Anubis
2295,Champagne,Rum,Tequila,Champagne,The others are spirits,Gin
2296,Bach,Antonio Vivaldi,Handel,Mozart,The others are Baroque composers.,Mozart
2297,Pulsar,Quasar,Radio Galaxy,Star Cluster,The others are sources of strong radio waves.,Star Cluster
2298,John Nash,Friedrich Hayek,Paul Samuelson,Rainer Weiss,The others are Nobel laureates in Economics,Rainer Weiss
2299,Ahmed Zewail,Dorothy Crowfoot Hodgkin,Marie Curie,Richard P. Feynman,The others are Nobel Laureates in the field of Chemistry.,Richard P. Feynman
2300,Birch,Pine,Oak,Pine,The others are deciduous trees,Maple
2301,Storm,Wolverine,Jean Grey,Robin,The others are members of X-Men.,Robin
2302,Dante,Cervantes,Petrarch,Shakespeare,The others wrote in Romance languages.,Shakespeare
2303,Avenue Montaigne,River Thames,Michigan Avenue,River Thames,The others are famous shopping streets.,Passeig de Gràcia
2304,Cicero,Aristotle,Plato,Cicero,The others are Greek philosophers.,Socrates
2305,Pteranodon,Rhamphorhynchus,Quetzalcoatlus,Archaeopteryx,The others are pterosaurs.,Archaeopteryx
2306,Sparrow,Eagle,American Robin,Eagle,The others are passerine birds,European Starling
2307,Tyrannosaurus Rex,Carnotaurus,Allosaurus,Triceratops,The others are carnivorous dinosaurs.,Triceratops
2308,Tehran,Abu Dhabi,Riyadh,Haifa,The others are capital cities in the Middle East,Haifa
2309,AT-AT (All Terrain Armored Transport),Star Destroyer,Millennium Falcon,Millennium Falcon,The others are Imperial vehicles.,TIE Fighter
2310,Daredevil,Black Bolt,Banshee,Wolverine,The others have sonic-based abilities,Wolverine
2311,Cotton Gin,Water Frame,Flying Shuttle,Cotton Gin,The others are directly involved in the process of weaving cloth,Spinning Jenny
2312,Sputnik Launch,Cuban Missile Crisis,Bay of Pigs Invasion,Apollo 11 Landing,The others are related to the Cold War,Apollo 11 Landing
2313,Fyodor Dostoevsky,Leo Tolstoy,Charles Dickens,Charles Dickens,The others are Russian authors.,Anton Chekhov
2314,Starry Night,The Kiss,Girl with a Pearl Earring,The Kiss,The others are oil paintings,The Birth of Venus
2315,Kepler-22b,Neptune,Jupiter,Kepler-22b,The others are planets in the solar system.,Mars
2316,Gandalf,Shelob,Smaug,Gandalf,The others are villains in Tolkien's universe,Balrog
2317,Owl,Gull,Tern,Bat,The others are birds,Bat
2318,Probus,Caligula,Cato,Cato,The others are Roman Emperors.,Aurelian
2319,Nirvana,Soundgarden,Alice In Chains,The Kinks,The others are grunge bands,The Kinks
2320,Mickey Mouse,Snoopy,Charlie Brown,Mickey Mouse,The others are comic strip characters,Garfield
2321,Mona Lisa,Guernica,The Starry Night,The Starry Night,The others are portraits of people.,The Girl with a Pearl Earring
2322,Handel,Debussy,Haydn,Debussy,The others are Classical era composers.,Mozart
2323,Knight,King,Queen,Rook,The others are human titles,Rook
2324,Balance Beam,Balance of Payments,Fiscal Balance,Balance Beam,The others are economic indicators,Balance of Trade
2325,Fort McHenry,Fort Collins,Fort Knox,Fort Collins,The others are U.S. military forts.,Fort Sumter
2326,Bessemer Process,Morse Code,Spinning Jenny,Morse Code,The others are inventions related to the Industrial Revolution.,Power Loom
2327,Bach,Chopin,Beethoven,Chopin,The others are German composers,Wagner
2328,Churros,Arancini,Baklava,Arancini,The others are pastries,Empanadas
2329,Gothic Column,Ionic Column,Doric Column,Gothic Column,The others are ancient Greek architectural orders,Corinthian Column
2330,Jupiter (Rome),Hercules,Remus,Jupiter (Rome),The others are demigods from Roman mythology.,Aeneas
2331,Madagascar,Greenland,Sri Lanka,Greenland,The others are tropical islands.,Borneo
2332,Achilles,King Arthur,Beowulf,King Arthur,The others are demigods.,Hercules
2333,Black Sabbath,Deep Purple,Oasis (band),Oasis,The others are formed in 60s.,The Beatles
2334,The Behistun Inscription,The Rosetta Stone,Antikythera Mechanism,Antikythera Mechanism,The others are inscriptions,The Code of Hammurabi
2335,Turmeric,Pine Bark,Cassia,Turmeric,The others are bark spices,Cinnamon
2336,Baking Powder,Soy Sauce,Flour,Soy Sauce,The others are used in baking.,Butter
2337,Bird,Rabbit,Squirrel,Kangaroo,The others are small mammals,Kangaroo
2338,Souvlaki,Moussaka,Beef Stroganoff,Beef Stroganoff,The others are traditional Mediterranean dishes.,Paella
2339,Proxima Centauri,Andromeda Galaxy,Sirius,Andromeda Galaxy,The others are stars,Betelgeuse
2340,Anemometer,Wind Vane,Sundial,Sundial,The others are weather tools.,Barometer
2341,Eiffel Tower,Versailles,Tuileries Palace,Eiffel Tower,The others are royal residences,Bastille
2342,Aloe Vera,Echeveria,Spider Plant,Spider Plant,The others are succulents,Jade Plant
2343,50%,100%,10%,10%,The others are fractions of 100% that are powers of 2,25%
2344,12.50%,1/8,0.125,0.15,The others are different representations of the same number,0.15
2345,10%,30%,20%,25%,The others are multiples of 10,25%
2346,0.5,0.125,0.375,0.5,The others are eighths,0.25
2347,3.14,3.14159,3.33333,3.33333,The others are approximations of Pi,22/7
2348,6,8,4,6,The others are powers of 2,16
2349,3,7,5,8,The others are prime numbers,8
2350,4,25,64,25,The others are squares of even numbers,16
2351,81,49,9,49,The others are powers of 3,3
2352,48,64,24,64,The others are multiples of 12,36
2353,9,64,25,64,The others are squares of prime numbers,4
2354,121,880,160,160,The others are multiples of 11,132
2355,143,91,121,121,The others are multiples of 13,104
2356,61,49,2401,61,The others are powers of 7,343
2357,2/3,1/3,1/2,2/3,The others are reciprocals of natural numbers,1/4
2358,2/4,3/6,1/2,1/3,The others are equivalent to 0.5,1/3
2359,1/3,2/5,1/2,2/5,The others are unit fractions,1/4
2360,1/2,1/4,1/8,1/3,The others are fractions that can be expressed as powers of 2,1/3
2361,2*2,2+2,2/2,2/2,The others result in 4,2^2
2362,8/4,2/3,3/4,8/4,The others are less than 1,1/2
2363,1/2,2/4,3/6,4/7,The others are operations resulting in 0.5,4/7
2364,8/10,2/3,4/6,8/10,The others are equivalent to 2/3,6/9
2365,7/2,10/5,8/4,7/2,The others are operations resulting in 2,20/10
2366,√9,√16,√4,√5,The others result in an integer,√5
2367,√2,√3,√4,√4,The others are irrational numbers,√5
2368,1/5*50,50% of 30,0.2*50,50% of 30,The others equal 10,20% of 50
2369,π/4 radians,45 degrees,1/6 of a full turn,1/6 of a full turn,The others are equivalent to 45 degrees,1/8 of a full turn
2370,1^2,2^1,1+1,1^2,The others equal 2,2*1
2371,30% of 100,20% of 100,10% of 100,50% of 50,The others equal 20,50% of 50
2372,3-4-5 triangle,7-24-25 triangle,5-12-13 triangle,3-4-7 triangle,The others are Pythagorean triples,3-4-7 triangle
2373,Oval,Circle,Ellipse,Square,The others have curved lines,Square
2374,Hexagon,Hyperbola,Ellipse,Hexagon,The others are conic sections,Parabola
2375,3^2,√81,3^log3(9),9!,The others equal 9,9!
2376,386,193,772,965,The others are multiples of 193,965
2377,390,195,978,978,The others are multiples of 195,780
2378,985,394,197,985,The others are multiples of 197,788
2379,201,1608,404,404,The others are multiples of 201,402
2380,Tan(45),Cos(0),Sin(90),Sin(0),The others equal 1,Sin(0)
2381,Friction,Light,Gravity,Light,The others are forces.,Magnetism
2382,Drawbridge,Throne,Crown,Crown,The others are architectural features.,Moat
2383,Himalayas,Mount Olympus,Sierra Nevada,Mount Olympus,The others are mountain ranges,Andes
2384,William Shakespeare,Arthur Conan Doyle,J.D. Salinger,J.D. Salinger,The others are British authors.,Agatha Christie
2385,Woodrow Wilson,Theodore Roosevelt,George Washington,Woodrow Wilson,The others are on Mount Rushmore,Abraham Lincoln
2386,Ankh,Sphinx,Scarab,Sphinx,The others are handheld Egyptian artifacts,Book of the Dead
2387,Falconry,Farming,Hunting,Carpentry,The others are related to food procurement,Carpentry
2388,Alexander the Great,Gaius Marius,Scipio Africanus,Alexander the Great,The others are Romans,Julius Caesar
2389,Harley Quinn,Wonder Woman,Iron Man,Iron Man,The others are DC characters,Aquaman
2390,Metatarsals,Femur,Metacarpals,Femur,The others are bones in the hands or feet,Carpals
2391,Guild,Orchestra,Market,Market,The others are types of associations,Confraternity
2392,Dorothea Dix,Clara Barton,Elizabeth Blackwell,Elizabeth Blackwell,The others are known for their work in nursing during war times.,Florence Nightingale
2393,Phaser,Klingon Bat'leth,Romulan Disruptor,Tricorder,The others are weapons.,Tricorder
2394,The Merovingian,Neo,The Trainman,Neo,The others are programs in Matrix,Seraph
2395,John Logie Baird,Alexander Bell,Philo Farnsworth,Eli Whitney,The others are television inventors.,Eli Whitney
2396,Kangaroo,Rabbit,Spider,Spider,The others are mammals,Mouse
2397,Granite,Phyllite,Limestone,Limestone,The others are metamorphic rocks,Slate
2398,The Venus of Milo,The Terracotta Army,The Statue of David,The Terracotta Army,The others are single piece sculptures,The Mona Lisa
2399,The World Bank,The Bank of England,The Fugger Bank,The World Bank,The others are historical family-owned banks.,The Medici Bank
2400,Atlantis,Pompeii,Herculaneum,Atlantis,The others are real and confirmed archaeological sites,Machu Picchu
2401,Kiwi,Hornbill,Osprey,Kiwi,The others are tropical birds,Toucan
2402,Tone Deafness,Relative Pitch,Perfect Pitch,Color Blind,The others are related to auditory perception.,Color Blind
2403,Maple,Magnolia,Cedar,Cedar,The others are flowering trees.,Tulip Tree
2404,Rose,Fern,Moss,Rose,The others are types of non-flowering plants,Pine
2405,Escargot,Foie Gras,Caviar,Truffle,The others are animal-based foods.,Truffle
2406,Migos,Drake,Future (rapper),Drake,The others are from Atlanta.,OutKast
2407,Teal (not color),Mallard,Penguin,Hawk,The others are waterfowl,Hawk
2408,Mars,Venus,Jupiter,Jupiter,The others are terrestrial planets,Earth
2409,Camille Desmoulins,Georges Danton,Jean-Paul Marat,Charlotte Corday,The others are leaders of the French Revolution,Charlotte Corday
2410,Flash,Black Panther,Captain America,Flash,The others are from Marvel Comics.,Thor
2411,Semiconductor,Insulator,Conductor,Transformer,The others are material types.,Transformer
2412,Airbus,Boeing,Lockheed Martin,Tesla,The others are Aerospace manufacturers.,Tesla
2413,Hare,Lion,Rabbit,Lion,The others are herbivores,Kangaroo
2414,Hazzan,Imam,Mohel,Imam,The others are Jewish religious roles.,Pastor
2415,Flea,Tick,Mosquito,Spider,The others are blood-sucking parasites.,Spider
2416,Cava,Prosecco,Lambrusco,Chianti,The others are sparkling wines,Chianti
2417,Privet,Forsythia,Juniper,Juniper,The others are flowering shrubs,Lilac
2418,Buddhism,Taoism,Sikhism,Taoism,The others are monotheistic religions,Judaism
2419,Insulin,Lactoferrin,Hemoglobin,Insulin,The others are non-hormonal,Lysozyme
2420,Bastet,Horus,Anubis,Horus,The others are associated with death.,Sobek
2421,Barley,Amaranth,Millet,Sunflower,The others are cereal grains,Sunflower
2422,Freya,Artemis,Thor,Thor,The others are Greek gods.,Dionysus
2423,Carniolan Bee,Mason Bee,Italian Bee,Bumblebee,The others are honey producing bees.,Bumblebee
2424,Chrysocolla,Azurite,Opal,Opal,The others are copper minerals.,Calcite
2425,Poseidon,Dionysus,Hermes,Hestia,The others are Olympian gods of travel or movement,Hestia
2426,Negroni,Old Fashioned,Mimosa,Mimosa,The others are stirred cocktails,Martini
2427,Asparagus,Carrot,Celery,Olives,The others are vegetables,Olives
2428,Parsnip,Potato,Garlic,Garlic,The others are root vegetables.,Carrot
2429,Epicurus,Socrates,Marcus Aurelius,Socrates,The others are Roman Stoics.,Seneca
2430,The Kalevala,The Mahabharata,The Great Gatsby,The Great Gatsby,The others are ancient epic poems.,The Odyssey
2431,Blue Whale,Pilot Whale,Bowhead Whale,Killer Whale,The others are from the whale family. Killer Whales are dolphins.,Killer Whale
2432,Draco,Orion,Andromeda,Orion,The others are sea creatures in mythology,Cetus
2433,Adder,Sea Snake,Anaconda,Anaconda,The others are venomous,Viper
2434,Curb Your Enthusiasm,Seinfeld,Friends,The Sopranos,The others are sitcoms,The Sopranos
2435,Panda Bear,Grizzly Bear,Kodiak Bear,Polar Bear,The others are brown bears,Polar Bear
2436,Manuka Honey,Royal Jelly,Spirulina,Spirulina,The others are bee products.,Bee Propolis
2437,Mexican Beaded Lizard,Green Iguana,Komodo Dragon,Green Iguana,The others are venomous lizards.,Gila Monster
2438,Empedocles,Epictetus,Parmenides,Epictetus,The others are Pre-Socratic philosophers.,Heraclitus
2439,Marcus Aurelius,Seneca,Aristotle,Aristotle,The others are Stoic philosophers.,Epicurus
2440,Blacktip Shark,Nurse Shark,Blue Shark,Nurse Shark,The others are requiem sharks,Leopard Shark
2441,Fin Whale,Dugong,Dolphin,Dolphin,The others are herbivores.,Manatee
2442,Wax,Resin,Amber,Wood,The others are natural polymers,Wood
2443,Croissant,Brioche,Shokupan,Shokupan,The others are types of French bread,Baguette
2444,Dionysus God,Mars God,Freya God,Freya God,The others are Roman Gods.,Bacchus God
2445,Black Widow,Aquaman,Hawkeye,Aquaman,The others are members of the Avengers.,Captain America
2446,Daffodil,Hyacinth,Chrysanthemum,Chrysanthemum,The others are spring-blooming flowers,Tulip
2447,Bee,Termite,Ant,Spider,The others are social insects.,Spider
2448,Peppermint,Lavender,Lemon Balm,Lavender,The others are members of the mint family,Basil
2449,Bane,Green Goblin,Iron Man,Iron Man,The others are Spider-Man's foes,Doctor Octopus
2450,Carving,Painting,Sculpting,Painting,The others are subtractive art techniques,Whittling
2451,Actin,Hemoglobin,Myosin,Albumin,The others are contractile proteins,Albumin
2452,Eggplant,Zucchini,Yellow Squash,Cucumber,The others belong to the nightshade family,Cucumber
2453,Polio,Hemophilia,Measles,Hemophilia,The others are infectious diseases,Malaria
2454,Clownfish,Gourami,Swordtail,Clownfish,The others are freshwater fish,Mollie
2455,Atlantis,Xanadu,Gomorrah,Xanadu,The others are cities that were destroyed according to myth/religion,Sodom
2456,Gruyere,Cream Cheese,Lard,Lard,The others are types of cheese.,Emmental
2457,Beetroot,Onion,Radish,Potato,The others are roots.,Potato
2458,Senate,Optimates,Populares,Consul,The others are political factions in ancient Rome,Consul
2459,Picasso,Sun Tzu,Machiavelli,Picasso,The others are philosophers.,Nietzsche
2460,Boxer Dog,Pit Bull,German Shepherd,Chihuahua,The others are large breed dogs.,Chihuahua
2461,Claustrophobia,Entomophobia,Selachophobia,Claustrophobia,The others are phobias related to living beings.,Ichthyophobia
2462,Crassus,Augustus,Cicero,Cicero,The others are Roman Generals.,Pompey
2463,Humerus,Lacrimal,Mandible,Humerus,The others are facial bones.,Nasal
2464,Croissant,Biscotti,Macaron,Croissant,The others are cookies,Meringue
2465,Fudge,Flan,Creme Brulee,Sorbet,The others are dairy based desserts,Sorbet
2466,Stonefish,Pufferfish,Clownfish,Clownfish,The others are venomous.,Stingray
2467,Chimpanzee,Orangutan,Bonobo,Orangutan,The others are African primates,Gorilla
2469,Dubai,Monaco,Sydney,Sydney,The others are in the Northern Hemisphere,Berlin
2470,Calcaneus,Ulna,Talus,Ulna,The others are bones in the foot,Femur
2471,Crossbow,Atlatl,Scythe,Scythe,The others are projectile weapons,Sling
2472,Hammer,Screwdriver,Drill,Sander,The others are hand tools that have a pointed end.,Sander
2473,Pesto,Saltimbocca,Osso Buco,Gelato,The others are meat-based Italian dishes.,Gelato
2474,Osteoarthritis,Gout,Rheumatoid Arthritis,Gastritis,The others are types of arthritis,Gastritis
2475,Lemon,Strawberry,Avocado,Strawberry,The others have a tough outer peel,Banana
2476,Apple,Avocado,Banana,Lemon,The others are sweet when ripe,Lemon
2477,Angelfish,Discus,Monkfish,Monkfish,The others are types of tropical fish,Butterfly Fish
2478,Horse,Kangaroo,Elephant,Kangaroo,The others are ungulates,Zebra
2479,Ballista,Lance,Trebuchet,Lance,The others are siege weapons.,Catapult
2480,Thonis-Heracleion,Canopus,Atlantis,Eldorado,The others are sunken cities.,Eldorado
2481,Death Cap,Henbane,Belladonna,Dandelion,The others are poisonous,Dandelion
2482,Edam,Cheddar,Ricotta,Ricotta,The others are hard cheeses,Gouda
2483,Aeneas,Antigone,Oedipus,Hamlet,The others are from Greek myths.,Hamlet
2484,Pneumonia,Psoriasis,Asthma,Pneumonia,The others are skin conditions.,Eczema
2485,Tiramisu,Cheesecake,Baklava,Baklava,The others are Italian desserts.,Panna Cotta
2486,Violin,Aulos,Lyre,Violin,The others are ancient Greek musical instruments,Harp
2487,Scimitar,Javelin,Katana,Javelin,The others are curved swords.,Wakizashi
2488,Trojan War,Caesar's Civil War,Punic Wars,Trojan War,The others are wars led by Romans.,Gallic Wars
2489,Bo Staff,Sling,Quarterstaff,Sling,The others are types of staffs.,Longbow
2490,Red-Eared Slider,Green Sea Turtle,Leopard Gecko,Leopard Gecko,The others are semi-aquatic reptiles.,Crested Gecko
2491,Humerus,Ribs,Femur,Femur,The others are bones in the upper body,Sternum
2492,Persian cat,Bengal cat,Abyssinian cat,Bengal cat,The others are cat breeds originated from Africa,Somali cat
2493,Hummingbird,Galapagos Tortoise,Dandelion,Dandelion,The others are long-lived species,Sequoia Tree
2494,Mandible,Temporal,Femur,Femur,The others are bones in the skull.,Parietal
2495,Siamese Cat,Maine Coon Cat,Turkish Van Cat,Siamese Cat,The others are Turkish breeds,Turkish Angora Cat
2496,Battle of Zama,Battle of Cannae,Battle of Alesia,Battle of Waterloo,The others are battles involving Romans,Battle of Waterloo
2497,Mount Logan,Mount Kenya,Mount Kilimanjaro,Mount Olympus,The others are in the Seven Summits list,Mount Olympus
2498,Nasal,Femur,Radius,Radius,The others are facial bones,Vomer
2499,Oarlock,Hatch,Wheel,Wheel,The others are found on boats,Porthole
2500,Carrot Cake,Lemon Tart,Apple Pie,Carrot Cake,The others are made with fruit,Key Lime Pie
2501,Bridge,Lighthouse,Dock,Bridge,The others are directly associated with water bodies,Marina
2502,Carrot,Cauliflower,Broccoli,Carrot,The others are part of the Brassica genus.,Potato
2503,Myopia,Cataracts,Lupus,Lupus,The others are eye diseases,Glaucoma
2504,Plateau,Butte,Mesa,Delta,The others are types of flat-topped landforms.,Delta
2505,Blowgun,War Hammer,Longbow,Blowgun,The others are melee weapons,Morning Star
2506,Eclair,Macaron,Madeleine,Baguette,The others are pastries.,Baguette
2507,Humerus,Lumbar vertebrae,Cervical vertebrae,Humerus,The others are types of vertebrae,Thoracic vertebrae
2508,Darius III,Hephaestion,Demosthenes,Darius III,The others are Alexander's allies,Cassander
2509,Flea,Ladybug,Tick,Ladybug,The others are blood-sucking pests.,Mosquito
2510,Minerva,Athena,Sphinx,Sphinx,The others are gods in ancient mythology.,Apollo
2511,Sunflower,Rice,Potato,Sunflower,The others are staple foods.,Wheat
2512,Dragonfly,Hummingbird,Hawkmoth,Dragonfly,The others are pollinators.,Butterfly
2513,Gloves,Hoodie,Boots,Boots,The others are worn on the upper body.,Coat
2514,Helium,Hydrogen,Iron (element),Iron,The others are elements in the first period of the periodic table.,Lithium
2515,Casino (movie),The Godfather (movie),Goodfellas (movie),The Shawshank Redemption (movie),The others are movies about the mafia.,The Shawshank Redemption (movie)
2516,Hydrogen,Oxygen,Carbon,Carbon,The others are diatomic elements.,Nitrogen
2517,Shrek,The Lion King,Aladdin,Shrek,The others are Disney animated movies,Mulan
2518,Genghis Khan,Napoleon Bonaparte,Thomas Jefferson,Thomas Jefferson,The others are conquerors,Julius Caesar
2519,Ferdinand Magellan,Marco Polo,Christopher Columbus,Marco Polo,The others are sea explorers,Vasco da Gama
2520,Guernica,Girl with a Pearl Earring,Mona Lisa,Guernica,The others are from the Renaissance period,The Last Supper
2521,Battle of Agincourt,Battle of Poitiers,Battle of Crécy,Battle of Hastings,The others are battles of the Hundred Years' War,Battle of Hastings
2522,The Sistine Chapel,The Creation of Adam,The Last Judgment,The School of Athens,The others are parts of the Sistine Chapel,The School of Athens
2523,The Battle of Bosworth Field,The Battle of Castillon,The Battle of Stoke Field,The Battle of Castillon,The others are battles in the Wars of the Roses,The Battle of Tewkesbury
2524,The Battle of Bicocca,The Battle of Agincourt,The Battle of Marignano,The Battle of Agincourt,The others are battles in the Italian Wars,The Battle of Pavia
2525,The Siege of Harfleur,The Siege of Florence,The Siege of Rouen,The Siege of Florence,The others are sieges in the Hundred Years' War,The Siege of Orleans
2526,The Council of Trent,The Council of Basel,The Council of Constance,The Council of Trent,The others are 15th century Church councils,The Council of Florence
2527,The Fall of Tenochtitlan,The Fall of Granada,The Fall of Rhodes,The Fall of Tenochtitlan,The others are falls of cities in the 15th century,The Fall of Constantinople
2528,The House of Medici,The House of Valois,The House of York,The House of Medici,The others are royal houses in the Wars of the Roses,The House of Lancaster
2529,The Treaty of Alcáçovas,The Treaty of Windsor,The Treaty of Versailles,The Treaty of Versailles,The others are treaties from the 15th century,The Treaty of Tordesillas
2530,The Declaration of Independence,The Edict of Worms,The Diet of Worms,The Declaration of Independence,The others are events in the Reformation,The Confession of Augsburg
2531,The Armada,The Mary Rose,The Santa Maria,The Santa Maria,The others are English ships of the 16th century,The Golden Hind
2532,Anne Boleyn,Catherine Howard,Jane Seymour,Anne of Cleves,The others were beheaded by Henry VIII,Anne of Cleves
2533,Columbus,Galileo,Kepler,Columbus,The others are astronomers,Copernicus
2534,Marco Polo,Hernan Cortes,Ponce de Leon,Marco Polo,The others are 16th-century Spanish explorers,Vasco Nunez de Balboa
2535,The Battle of Pavia,The Battle of Lepanto,The Battle of Hastings,The Battle of Hastings,The others are 16th-century battles,The Siege of Malta
