obj_1,obj_2,obj_3,odd,reason_for_similarity,obj_4
Green Lantern,Iron Fist,Thor,Iron Fist,The others are from space,Silver Surfer
Wilbur Wright,Orville Wright,George Eastman,George Eastman,The others are pioneers in aviation,Amelia Earhart
Dwight D. Eisenhower,Martin Van Buren,Benjamin Franklin,Benjamin Franklin,The others are U.S. Presidents,Andrew Jackson
Thanos,Gamora,Star-Lord,Star-Lord,The others are related.,Nebula (character)
Marjoram,Basil,Nutmeg,Nutmeg,The others are herbs,Oregano
Spiderman,Wonder Woman,Batman,Spiderman,The others are DC Comics characters,Robin
Ant,Mosquito,Butterfly,Mosquito,The others are pollinators,Bee
Quicksilver,Flash,Black Canary,Quicksilver,The others are DC Comics characters.,Batman
Parsley,Turmeric,Salt,Salt,The others are spices.,Ginger
Ulna,Femur,Tibia,Tibia,The others are bones in the arm.,Radius
Silver (metal),Copper,Zinc,Magnesium,The others are transition metals,Magnesium
Thunderstorm,Blizzard,Tornado,Earthquake,The others are atmospheric phenomena,Earthquake
Iron,Aluminum,Indium,Iron,The others are post-transition metals.,Gallium
Chalk,Basalt,Gabbro,Chalk,The others are igneous rocks,Andesite
Hanbok,Kimono,Toga,Toga,The others are Asian traditional dresses,Sari
Sodium,Rubidium,Potassium,Gallium,The others are alkali metals,Gallium
Gulf Stream,Jet Stream,Trade Winds,Gulf Stream,The others are atmospheric winds,Monsoon
Light Bulb,The Musket,Gutenberg's Printing Press,Light Bulb,The others are inventions of early to late Renaissance period.,Telescope
Orchid,Maple,Lily,Pine,The others are flowering plants.,Pine
Cactus,Fern,Maple,Cactus,The others are non-desert plants,Moss
Rhyolite,Chert,Granite,Chert,The others are types of igneous rocks,Dacite
Rose,Oak Tree,Algae,Algae,The others are primarily pollinated,Sunflower
Coconut,Banana,Rose,Rose,The others are types of trees,Oak
Brachiosaurus,Stegosaurus,Triceratops,Spinosaurus,The others are herbivorous dinosaurs,Spinosaurus
Charles Darwin,Gregor Mendel,James Watson,Nikola Tesla,The others are known for their contributions to biology.,Nikola Tesla
Scallions,Garlic,Chives,Cloves,The others are Allium genus (onion family) plants,Cloves
Zorbing,Bowling,Bouldering,Bouldering,The others are activities involving a spherical object,Soccer
Transcription,Mitosis,Meiosis,Photosynthesis,The others are types of cell division.,Photosynthesis
Malta,Crete,Iceland,Iceland,The others are Mediterranean islands.,Cyprus
Lipid,Protein,DNA,Glucose,The others are macromolecules,Glucose
Black Pudding,Morcilla,Chorizo,Pancetta,The others are types of blood sausage,Pancetta
Marigold,Maple,Sunflower,Maple,The others are flowers,Daisy
Basalt,Granite,Pumice,Granite,The others are volcanic rocks.,Obsidian
Tiger,Owl,Snake,Tiger,The others are nocturnal,Bat
Alain Ducasse,Emeril Lagasse,Julia Child,Julia Child,The others are French chefs,Pierre Gagnaire
Pigeon,Dove,Falcon,Penguin,The others are able to fly,Penguin
Boiling,Steaming,Roasting,Roasting,The others are cooking methods using liquid.,Braising
Phosphorus,Oxygen,Sulfur,Oxygen,The others are nonmetals in group 15 of the periodic table,Nitrogen
Combat Fatigue (Battle Fatigue),Shell Shock (PTSD),Appendicitis,Appendicitis,The others are related to war trauma.,Traumatic Brain Injury (TBI)
Mars,Neptune,Saturn,Mars,The others are gas giants.,Jupiter
Sibylline Oracle,Oracle of Delphi,Vestal Virgin,Vestal Virgin,The others are associated with prophecy in ancient Greece,Pythia
Palm,Sequoia,Douglas-fir,Palm,The others are coniferous trees,Redwood
Osiris,Cleopatra,Horus,Cleopatra,The others are deities in ancient Egyptian mythology.,Anubis
Champagne,Rum,Tequila,Champagne,The others are spirits,Gin
Bach,Antonio Vivaldi,Handel,Mozart,The others are Baroque composers.,Mozart
Pulsar,Quasar,Radio Galaxy,Star Cluster,The others are sources of strong radio waves.,Star Cluster
John Nash,Friedrich Hayek,Paul Samuelson,Rainer Weiss,The others are Nobel laureates in Economics,Rainer Weiss
Ahmed Zewail,Dorothy Crowfoot Hodgkin,Marie Curie,Richard P. Feynman,The others are Nobel Laureates in the field of Chemistry.,Richard P. Feynman
Birch,Pine,Oak,Pine,The others are deciduous trees,Maple
Storm,Wolverine,Jean Grey,Robin,The others are members of X-Men.,Robin
Dante,Cervantes,Petrarch,Shakespeare,The others wrote in Romance languages.,Shakespeare
Avenue Montaigne,River Thames,Michigan Avenue,River Thames,The others are famous shopping streets.,Passeig de Gràcia
Cicero,Aristotle,Plato,Cicero,The others are Greek philosophers.,Socrates
Pteranodon,Rhamphorhynchus,Quetzalcoatlus,Archaeopteryx,The others are pterosaurs.,Archaeopteryx
Sparrow,Eagle,American Robin,Eagle,The others are passerine birds,European Starling
Tyrannosaurus Rex,Carnotaurus,Allosaurus,Triceratops,The others are carnivorous dinosaurs.,Triceratops
Tehran,Abu Dhabi,Riyadh,Haifa,The others are capital cities in the Middle East,Haifa
AT-AT (All Terrain Armored Transport),Star Destroyer,Millennium Falcon,Millennium Falcon,The others are Imperial vehicles.,TIE Fighter
Daredevil,Black Bolt,Banshee,Wolverine,The others have sonic-based abilities,Wolverine
Cotton Gin,Water Frame,Flying Shuttle,Cotton Gin,The others are directly involved in the process of weaving cloth,Spinning Jenny
Sputnik Launch,Cuban Missile Crisis,Bay of Pigs Invasion,Apollo 11 Landing,The others are related to the Cold War,Apollo 11 Landing
Fyodor Dostoevsky,Leo Tolstoy,Charles Dickens,Charles Dickens,The others are Russian authors.,Anton Chekhov
Starry Night,The Kiss,Girl with a Pearl Earring,The Kiss,The others are oil paintings,The Birth of Venus
Kepler-22b,Neptune,Jupiter,Kepler-22b,The others are planets in the solar system.,Mars
Gandalf,Shelob,Smaug,Gandalf,The others are villains in Tolkien's universe,Balrog
Owl,Gull,Tern,Bat,The others are birds,Bat
Probus,Caligula,Cato,Cato,The others are Roman Emperors.,Aurelian
Nirvana,Soundgarden,Alice In Chains,The Kinks,The others are grunge bands,The Kinks
Mickey Mouse,Snoopy,Charlie Brown,Mickey Mouse,The others are comic strip characters,Garfield
Mona Lisa,Guernica,The Starry Night,The Starry Night,The others are portraits of people.,The Girl with a Pearl Earring
Handel,Debussy,Haydn,Debussy,The others are Classical era composers.,Mozart
Knight,King,Queen,Rook,The others are human titles,Rook
Balance Beam,Balance of Payments,Fiscal Balance,Balance Beam,The others are economic indicators,Balance of Trade
Fort McHenry,Fort Collins,Fort Knox,Fort Collins,The others are U.S. military forts.,Fort Sumter
Bessemer Process,Morse Code,Spinning Jenny,Morse Code,The others are inventions related to the Industrial Revolution.,Power Loom
Bach,Chopin,Beethoven,Chopin,The others are German composers,Wagner
Churros,Arancini,Baklava,Arancini,The others are pastries,Empanadas
Gothic Column,Ionic Column,Doric Column,Gothic Column,The others are ancient Greek architectural orders,Corinthian Column
Jupiter (Rome),Hercules,Remus,Jupiter (Rome),The others are demigods from Roman mythology.,Aeneas
Madagascar,Greenland,Sri Lanka,Greenland,The others are tropical islands.,Borneo
Achilles,King Arthur,Beowulf,King Arthur,The others are demigods.,Hercules
Black Sabbath,Deep Purple,Oasis (band),Oasis,The others are formed in 60s.,The Beatles
The Behistun Inscription,The Rosetta Stone,Antikythera Mechanism,Antikythera Mechanism,The others are inscriptions,The Code of Hammurabi
Turmeric,Pine Bark,Cassia,Turmeric,The others are bark spices,Cinnamon
Baking Powder,Soy Sauce,Flour,Soy Sauce,The others are used in baking.,Butter
Bird,Rabbit,Squirrel,Kangaroo,The others are small mammals,Kangaroo
Souvlaki,Moussaka,Beef Stroganoff,Beef Stroganoff,The others are traditional Mediterranean dishes.,Paella
Proxima Centauri,Andromeda Galaxy,Sirius,Andromeda Galaxy,The others are stars,Betelgeuse
Anemometer,Wind Vane,Sundial,Sundial,The others are weather tools.,Barometer
Eiffel Tower,Versailles,Tuileries Palace,Eiffel Tower,The others are royal residences,Bastille
Aloe Vera,Echeveria,Spider Plant,Spider Plant,The others are succulents,Jade Plant
50%,100%,10%,10%,The others are fractions of 100% that are powers of 2,25%
12.50%,1/8,0.125,0.15,The others are different representations of the same number,0.15
10%,30%,20%,25%,The others are multiples of 10,25%
0.5,0.125,0.375,0.5,The others are eighths,0.25
3.14,3.14159,3.33333,3.33333,The others are approximations of Pi,22/7
6,8,4,6,The others are powers of 2,16
3,7,5,8,The others are prime numbers,8
4,25,64,25,The others are squares of even numbers,16
81,49,9,49,The others are powers of 3,3
48,64,24,64,The others are multiples of 12,36
9,64,25,64,The others are squares of prime numbers,4
121,880,160,160,The others are multiples of 11,132
143,91,121,121,The others are multiples of 13,104
61,49,2401,61,The others are powers of 7,343
2/3,1/3,1/2,2/3,The others are reciprocals of natural numbers,1/4
2/4,3/6,1/2,1/3,The others are equivalent to 0.5,1/3
1/3,2/5,1/2,2/5,The others are unit fractions,1/4
1/2,1/4,1/8,1/3,The others are fractions that can be expressed as powers of 2,1/3
2*2,2+2,2/2,2/2,The others result in 4,2^2
8/4,2/3,3/4,8/4,The others are less than 1,1/2
1/2,2/4,3/6,4/7,The others are operations resulting in 0.5,4/7
8/10,2/3,4/6,8/10,The others are equivalent to 2/3,6/9
7/2,10/5,8/4,7/2,The others are operations resulting in 2,20/10
√9,√16,√4,√5,The others result in an integer,√5
√2,√3,√4,√4,The others are irrational numbers,√5
1/5*50,50% of 30,0.2*50,50% of 30,The others equal 10,20% of 50
π/4 radians,45 degrees,1/6 of a full turn,1/6 of a full turn,The others are equivalent to 45 degrees,1/8 of a full turn
1^2,2^1,1+1,1^2,The others equal 2,2*1
30% of 100,20% of 100,10% of 100,50% of 50,The others equal 20,50% of 50
3-4-5 triangle,7-24-25 triangle,5-12-13 triangle,3-4-7 triangle,The others are Pythagorean triples,3-4-7 triangle
Oval,Circle,Ellipse,Square,The others have curved lines,Square
Hexagon,Hyperbola,Ellipse,Hexagon,The others are conic sections,Parabola
3^2,√81,3^log3(9),9!,The others equal 9,9!
386,193,772,965,The others are multiples of 193,965
390,195,978,978,The others are multiples of 195,780
985,394,197,985,The others are multiples of 197,788
201,1608,404,404,The others are multiples of 201,402
Tan(45),Cos(0),Sin(90),Sin(0),The others equal 1,Sin(0)
Friction,Light,Gravity,Light,The others are forces.,Magnetism
Drawbridge,Throne,Crown,Crown,The others are architectural features.,Moat
Himalayas,Mount Olympus,Sierra Nevada,Mount Olympus,The others are mountain ranges,Andes
William Shakespeare,Arthur Conan Doyle,J.D. Salinger,J.D. Salinger,The others are British authors.,Agatha Christie
Woodrow Wilson,Theodore Roosevelt,George Washington,Woodrow Wilson,The others are on Mount Rushmore,Abraham Lincoln
Ankh,Sphinx,Scarab,Sphinx,The others are handheld Egyptian artifacts,Book of the Dead
Falconry,Farming,Hunting,Carpentry,The others are related to food procurement,Carpentry
Alexander the Great,Gaius Marius,Scipio Africanus,Alexander the Great,The others are Romans,Julius Caesar
Harley Quinn,Wonder Woman,Iron Man,Iron Man,The others are DC characters,Aquaman
Metatarsals,Femur,Metacarpals,Femur,The others are bones in the hands or feet,Carpals
Guild,Orchestra,Market,Market,The others are types of associations,Confraternity
Dorothea Dix,Clara Barton,Elizabeth Blackwell,Elizabeth Blackwell,The others are known for their work in nursing during war times.,Florence Nightingale
Phaser,Klingon Bat'leth,Romulan Disruptor,Tricorder,The others are weapons.,Tricorder
The Merovingian,Neo,The Trainman,Neo,The others are programs in Matrix,Seraph
John Logie Baird,Alexander Bell,Philo Farnsworth,Eli Whitney,The others are television inventors.,Eli Whitney
Kangaroo,Rabbit,Spider,Spider,The others are mammals,Mouse
Granite,Phyllite,Limestone,Limestone,The others are metamorphic rocks,Slate
The Venus of Milo,The Terracotta Army,The Statue of David,The Terracotta Army,The others are single piece sculptures,The Mona Lisa
The World Bank,The Bank of England,The Fugger Bank,The World Bank,The others are historical family-owned banks.,The Medici Bank
Atlantis,Pompeii,Herculaneum,Atlantis,The others are real and confirmed archaeological sites,Machu Picchu
Kiwi,Hornbill,Osprey,Kiwi,The others are tropical birds,Toucan
Tone Deafness,Relative Pitch,Perfect Pitch,Color Blind,The others are related to auditory perception.,Color Blind
Maple,Magnolia,Cedar,Cedar,The others are flowering trees.,Tulip Tree
Rose,Fern,Moss,Rose,The others are types of non-flowering plants,Pine
Escargot,Foie Gras,Caviar,Truffle,The others are animal-based foods.,Truffle
Migos,Drake,Future (rapper),Drake,The others are from Atlanta.,OutKast
Teal (not color),Mallard,Penguin,Hawk,The others are waterfowl,Hawk
Mars,Venus,Jupiter,Jupiter,The others are terrestrial planets,Earth
Camille Desmoulins,Georges Danton,Jean-Paul Marat,Charlotte Corday,The others are leaders of the French Revolution,Charlotte Corday
Flash,Black Panther,Captain America,Flash,The others are from Marvel Comics.,Thor
Semiconductor,Insulator,Conductor,Transformer,The others are material types.,Transformer
Airbus,Boeing,Lockheed Martin,Tesla,The others are Aerospace manufacturers.,Tesla
Hare,Lion,Rabbit,Lion,The others are herbivores,Kangaroo
Hazzan,Imam,Mohel,Imam,The others are Jewish religious roles.,Pastor
Flea,Tick,Mosquito,Spider,The others are blood-sucking parasites.,Spider
Cava,Prosecco,Lambrusco,Chianti,The others are sparkling wines,Chianti
Privet,Forsythia,Juniper,Juniper,The others are flowering shrubs,Lilac
Buddhism,Taoism,Sikhism,Taoism,The others are monotheistic religions,Judaism
Insulin,Lactoferrin,Hemoglobin,Insulin,The others are non-hormonal,Lysozyme
Bastet,Horus,Anubis,Horus,The others are associated with death.,Sobek
Barley,Amaranth,Millet,Sunflower,The others are cereal grains,Sunflower
Freya,Artemis,Thor,Thor,The others are Greek gods.,Dionysus
Carniolan Bee,Mason Bee,Italian Bee,Bumblebee,The others are honey producing bees.,Bumblebee
Chrysocolla,Azurite,Opal,Opal,The others are copper minerals.,Calcite
Poseidon,Dionysus,Hermes,Hestia,The others are Olympian gods of travel or movement,Hestia
Negroni,Old Fashioned,Mimosa,Mimosa,The others are stirred cocktails,Martini
Asparagus,Carrot,Celery,Olives,The others are vegetables,Olives
Parsnip,Potato,Garlic,Garlic,The others are root vegetables.,Carrot
Epicurus,Socrates,Marcus Aurelius,Socrates,The others are Roman Stoics.,Seneca
The Kalevala,The Mahabharata,The Great Gatsby,The Great Gatsby,The others are ancient epic poems.,The Odyssey
Blue Whale,Pilot Whale,Bowhead Whale,Killer Whale,The others are from the whale family. Killer Whales are dolphins.,Killer Whale
Draco,Orion,Andromeda,Orion,The others are sea creatures in mythology,Cetus
Adder,Sea Snake,Anaconda,Anaconda,The others are venomous,Viper
Curb Your Enthusiasm,Seinfeld,Friends,The Sopranos,The others are sitcoms,The Sopranos
Panda Bear,Grizzly Bear,Kodiak Bear,Polar Bear,The others are brown bears,Polar Bear
Manuka Honey,Royal Jelly,Spirulina,Spirulina,The others are bee products.,Bee Propolis
Mexican Beaded Lizard,Green Iguana,Komodo Dragon,Green Iguana,The others are venomous lizards.,Gila Monster
Empedocles,Epictetus,Parmenides,Epictetus,The others are Pre-Socratic philosophers.,Heraclitus
Marcus Aurelius,Seneca,Aristotle,Aristotle,The others are Stoic philosophers.,Epicurus
Blacktip Shark,Nurse Shark,Blue Shark,Nurse Shark,The others are requiem sharks,Leopard Shark
Fin Whale,Dugong,Dolphin,Dolphin,The others are herbivores.,Manatee
Wax,Resin,Amber,Wood,The others are natural polymers,Wood
Croissant,Brioche,Shokupan,Shokupan,The others are types of French bread,Baguette
Dionysus God,Mars God,Freya God,Freya God,The others are Roman Gods.,Bacchus God
Black Widow,Aquaman,Hawkeye,Aquaman,The others are members of the Avengers.,Captain America
Daffodil,Hyacinth,Chrysanthemum,Chrysanthemum,The others are spring-blooming flowers,Tulip
Bee,Termite,Ant,Spider,The others are social insects.,Spider
Peppermint,Lavender,Lemon Balm,Lavender,The others are members of the mint family,Basil
Bane,Green Goblin,Iron Man,Iron Man,The others are Spider-Man's foes,Doctor Octopus
Carving,Painting,Sculpting,Painting,The others are subtractive art techniques,Whittling
Actin,Hemoglobin,Myosin,Albumin,The others are contractile proteins,Albumin
Eggplant,Zucchini,Yellow Squash,Cucumber,The others belong to the nightshade family,Cucumber
Polio,Hemophilia,Measles,Hemophilia,The others are infectious diseases,Malaria
Clownfish,Gourami,Swordtail,Clownfish,The others are freshwater fish,Mollie
Atlantis,Xanadu,Gomorrah,Xanadu,The others are cities that were destroyed according to myth/religion,Sodom
Gruyere,Cream Cheese,Lard,Lard,The others are types of cheese.,Emmental
Beetroot,Onion,Radish,Potato,The others are roots.,Potato
Senate,Optimates,Populares,Consul,The others are political factions in ancient Rome,Consul
Picasso,Sun Tzu,Machiavelli,Picasso,The others are philosophers.,Nietzsche
Boxer Dog,Pit Bull,German Shepherd,Chihuahua,The others are large breed dogs.,Chihuahua
Claustrophobia,Entomophobia,Selachophobia,Claustrophobia,The others are phobias related to living beings.,Ichthyophobia
Crassus,Augustus,Cicero,Cicero,The others are Roman Generals.,Pompey
Humerus,Lacrimal,Mandible,Humerus,The others are facial bones.,Nasal
Croissant,Biscotti,Macaron,Croissant,The others are cookies,Meringue
Fudge,Flan,Creme Brulee,Sorbet,The others are dairy based desserts,Sorbet
Stonefish,Pufferfish,Clownfish,Clownfish,The others are venomous.,Stingray
Chimpanzee,Orangutan,Bonobo,Orangutan,The others are African primates,Gorilla
Nutmeg,Basil,Cumin,Basil,The others are seeds.,Coriander
Dubai,Monaco,Sydney,Sydney,The others are in the Northern Hemisphere,Berlin
Calcaneus,Ulna,Talus,Ulna,The others are bones in the foot,Femur
Crossbow,Atlatl,Scythe,Scythe,The others are projectile weapons,Sling
Hammer,Screwdriver,Drill,Sander,The others are hand tools that have a pointed end.,Sander
Pesto,Saltimbocca,Osso Buco,Gelato,The others are meat-based Italian dishes.,Gelato
Osteoarthritis,Gout,Rheumatoid Arthritis,Gastritis,The others are types of arthritis,Gastritis
Lemon,Strawberry,Avocado,Strawberry,The others have a tough outer peel,Banana
Apple,Avocado,Banana,Lemon,The others are sweet when ripe,Lemon
Angelfish,Discus,Monkfish,Monkfish,The others are types of tropical fish,Butterfly Fish
Horse,Kangaroo,Elephant,Kangaroo,The others are ungulates,Zebra
Ballista,Lance,Trebuchet,Lance,The others are siege weapons.,Catapult
Thonis-Heracleion,Canopus,Atlantis,Eldorado,The others are sunken cities.,Eldorado
Death Cap,Henbane,Belladonna,Dandelion,The others are poisonous,Dandelion
Edam,Cheddar,Ricotta,Ricotta,The others are hard cheeses,Gouda
Aeneas,Antigone,Oedipus,Hamlet,The others are from Greek myths.,Hamlet
Pneumonia,Psoriasis,Asthma,Pneumonia,The others are skin conditions.,Eczema
Tiramisu,Cheesecake,Baklava,Baklava,The others are Italian desserts.,Panna Cotta
Violin,Aulos,Lyre,Violin,The others are ancient Greek musical instruments,Harp
Scimitar,Javelin,Katana,Javelin,The others are curved swords.,Wakizashi
Trojan War,Caesar's Civil War,Punic Wars,Trojan War,The others are wars led by Romans.,Gallic Wars
Bo Staff,Sling,Quarterstaff,Sling,The others are types of staffs.,Longbow
Red-Eared Slider,Green Sea Turtle,Leopard Gecko,Leopard Gecko,The others are semi-aquatic reptiles.,Crested Gecko
Humerus,Ribs,Femur,Femur,The others are bones in the upper body,Sternum
Persian cat,Bengal cat,Abyssinian cat,Bengal cat,The others are cat breeds originated from Africa,Somali cat
Hummingbird,Galapagos Tortoise,Dandelion,Dandelion,The others are long-lived species,Sequoia Tree
Mandible,Temporal,Femur,Femur,The others are bones in the skull.,Parietal
Siamese Cat,Maine Coon Cat,Turkish Van Cat,Siamese Cat,The others are Turkish breeds,Turkish Angora Cat
Battle of Zama,Battle of Cannae,Battle of Alesia,Battle of Waterloo,The others are battles involving Romans,Battle of Waterloo
Mount Logan,Mount Kenya,Mount Kilimanjaro,Mount Olympus,The others are in the Seven Summits list,Mount Olympus
Nasal,Femur,Radius,Radius,The others are facial bones,Vomer
Oarlock,Hatch,Wheel,Wheel,The others are found on boats,Porthole
Carrot Cake,Lemon Tart,Apple Pie,Carrot Cake,The others are made with fruit,Key Lime Pie
Bridge,Lighthouse,Dock,Bridge,The others are directly associated with water bodies,Marina
Carrot,Cauliflower,Broccoli,Carrot,The others are part of the Brassica genus.,Potato
Myopia,Cataracts,Lupus,Lupus,The others are eye diseases,Glaucoma
Plateau,Butte,Mesa,Delta,The others are types of flat-topped landforms.,Delta
Blowgun,War Hammer,Longbow,Blowgun,The others are melee weapons,Morning Star
Eclair,Macaron,Madeleine,Baguette,The others are pastries.,Baguette
Humerus,Lumbar vertebrae,Cervical vertebrae,Humerus,The others are types of vertebrae,Thoracic vertebrae
Darius III,Hephaestion,Demosthenes,Darius III,The others are Alexander's allies,Cassander
Flea,Ladybug,Tick,Ladybug,The others are blood-sucking pests.,Mosquito
Minerva,Athena,Sphinx,Sphinx,The others are gods in ancient mythology.,Apollo
Sunflower,Rice,Potato,Sunflower,The others are staple foods.,Wheat
Dragonfly,Hummingbird,Hawkmoth,Dragonfly,The others are pollinators.,Butterfly
Gloves,Hoodie,Boots,Boots,The others are worn on the upper body.,Coat
Helium,Hydrogen,Iron (element),Iron,The others are elements in the first period of the periodic table.,Lithium
Casino (movie),The Godfather (movie),Goodfellas (movie),The Shawshank Redemption (movie),The others are movies about the mafia.,The Shawshank Redemption (movie)
Hydrogen,Oxygen,Carbon,Carbon,The others are diatomic elements.,Nitrogen
Shrek,The Lion King,Aladdin,Shrek,The others are Disney animated movies,Mulan
Genghis Khan,Napoleon Bonaparte,Thomas Jefferson,Thomas Jefferson,The others are conquerors,Julius Caesar
Ferdinand Magellan,Marco Polo,Christopher Columbus,Marco Polo,The others are sea explorers,Vasco da Gama
Guernica,Girl with a Pearl Earring,Mona Lisa,Guernica,The others are from the Renaissance period,The Last Supper
Battle of Agincourt,Battle of Poitiers,Battle of Crécy,Battle of Hastings,The others are battles of the Hundred Years' War,Battle of Hastings
The Sistine Chapel,The Creation of Adam,The Last Judgment,The School of Athens,The others are parts of the Sistine Chapel,The School of Athens
The Battle of Bosworth Field,The Battle of Castillon,The Battle of Stoke Field,The Battle of Castillon,The others are battles in the Wars of the Roses,The Battle of Tewkesbury
The Battle of Bicocca,The Battle of Agincourt,The Battle of Marignano,The Battle of Agincourt,The others are battles in the Italian Wars,The Battle of Pavia
The Siege of Harfleur,The Siege of Florence,The Siege of Rouen,The Siege of Florence,The others are sieges in the Hundred Years' War,The Siege of Orleans
The Council of Trent,The Council of Basel,The Council of Constance,The Council of Trent,The others are 15th century Church councils,The Council of Florence
The Fall of Tenochtitlan,The Fall of Granada,The Fall of Rhodes,The Fall of Tenochtitlan,The others are falls of cities in the 15th century,The Fall of Constantinople
The House of Medici,The House of Valois,The House of York,The House of Medici,The others are royal houses in the Wars of the Roses,The House of Lancaster
The Treaty of Alcáçovas,The Treaty of Windsor,The Treaty of Versailles,The Treaty of Versailles,The others are treaties from the 15th century,The Treaty of Tordesillas
The Declaration of Independence,The Edict of Worms,The Diet of Worms,The Declaration of Independence,The others are events in the Reformation,The Confession of Augsburg
The Armada,The Mary Rose,The Santa Maria,The Santa Maria,The others are English ships of the 16th century,The Golden Hind
Anne Boleyn,Catherine Howard,Jane Seymour,Anne of Cleves,The others were beheaded by Henry VIII,Anne of Cleves
Columbus,Galileo,Kepler,Columbus,The others are astronomers,Copernicus
Marco Polo,Hernan Cortes,Ponce de Leon,Marco Polo,The others are 16th-century Spanish explorers,Vasco Nunez de Balboa
The Battle of Pavia,The Battle of Lepanto,The Battle of Hastings,The Battle of Hastings,The others are 16th-century battles,The Siege of Malta
Plymouth Colony,Sydney,Jamestown,Sydney,The others are 17th century colonial settlements in America.,New Amsterdam
Thomas Jefferson,Benjamin Franklin,John Adams,George Washington,The others signed the Declaration of Independence,George Washington
Rembrandt,Mozart,Haydn,Rembrandt,The others are composers,Beethoven
Voltaire,Diderot,Rousseau,Kant,The others are French Enlightenment philosophers,Kant
Emily Dickinson,Edgar Allan Poe,William Wordsworth,William Wordsworth,The others are 19th century American poets.,Walt Whitman
The Spanish-American War,The War of 1812,The Napoleonic Wars,The Napoleonic Wars,The others are 19th century wars involving the United States.,The American Civil War
The Grand Canal,The Panama Canal,The Erie Canal,The Grand Canal,The others are 19th plus century canals.,The Suez Canal
The Brooklyn Bridge,The Eiffel Tower,The Great Wall of China,The Great Wall of China,The others are 19th century structures.,The Statue of Liberty
The Internet,The Steam Engine,The Telegraph,The Internet,The others are 19th century communication inventions.,The Telephone
The War of 1812,World War I,The American Civil War,World War I,The others are 19th century wars.,The Spanish-American War
Edgar Allan Poe,John Milton,Walt Whitman,John Milton,The others are 19th century American authors,Emily Dickinson
JFK,Robert Kennedy,Martin Luther King Jr.,Richard Nixon,The others were assassinated in the 1960s.,Richard Nixon
Mini Skirt,Tie-dye shirts,Zoot Suit,Zoot Suit,The others are 1960s fashion trends.,Bell-bottoms
Sixteen Candles,The Breakfast Club,Ferris Bueller's Day Off,The Goonies,The others are John Hughes films,The Goonies
O.J. Simpson,Tonya Harding,Monica Lewinsky,Princess Diana,The others were involved in major American scandals,Princess Diana
Alanis Morissette,Celine Dion,Mariah Carey,Mariah Carey,The others are Canadian singers,Shania Twain
Google Chrome,Netscape Navigator,Mosaic,Google Chrome,The others are 90s web browsers,Internet Explorer
Fatboy Slim,Daft Punk,The Chemical Brothers,Daft Punk,The others are British electronic music acts,The Prodigy
